<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
27.09.2018;116710;116730;116680;116690
27.09.2018;116690;116720;116660;116680
27.09.2018;116680;116690;116630;116670
27.09.2018;116650;116710;116650;116700
27.09.2018;116700;116750;116670;116690
27.09.2018;116690;116710;116660;116670
27.09.2018;116680;116680;116600;116610
27.09.2018;116620;116660;116600;116660
27.09.2018;116650;116680;116620;116640
27.09.2018;116640;116680;116640;116680
27.09.2018;116680;116720;116670;116710
27.09.2018;116710;116740;116700;116730
27.09.2018;116720;116770;116700;116730
27.09.2018;116720;116730;116680;116680
27.09.2018;116680;116730;116680;116710
27.09.2018;116720;116760;116700;116740
27.09.2018;116740;116810;116710;116740
27.09.2018;116730;116780;116720;116760
27.09.2018;116780;116830;116780;116820
27.09.2018;116830;116850;116800;116830
27.09.2018;116830;116850;116820;116830
27.09.2018;116830;116850;116810;116840
27.09.2018;116820;116840;116820;116830
27.09.2018;116830;116900;116820;116880
27.09.2018;116870;116930;116860;116930
27.09.2018;116910;116950;116890;116940
27.09.2018;116940;116950;116880;116880
27.09.2018;116880;116890;116840;116860
27.09.2018;116860;116900;116860;116860
27.09.2018;116860;116880;116850;116880
27.09.2018;116860;116890;116860;116890
27.09.2018;116890;116930;116870;116930
27.09.2018;116930;116940;116880;116910
27.09.2018;116920;116940;116900;116910
27.09.2018;116920;116920;116810;116820
27.09.2018;116820;116830;116760;116760
27.09.2018;116770;116770;116620;116680
27.09.2018;116690;116720;116650;116660
27.09.2018;116670;116710;116620;116680
27.09.2018;116690;116720;116680;116700
27.09.2018;116710;116710;116560;116580
27.09.2018;116590;116600;116560;116580
27.09.2018;116570;116590;116450;116500
27.09.2018;116500;116570;116410;116470
27.09.2018;116460;116650;116450;116630
27.09.2018;116630;116650;116600;116640
27.09.2018;116640;116670;116620;116660
27.09.2018;116660;116740;116650;116710
27.09.2018;116700;116720;116630;116670
27.09.2018;116680;116730;116660;116720
27.09.2018;116710;116740;116650;116740
27.09.2018;116740;116770;116710;116730
27.09.2018;116730;116730;116670;116680
27.09.2018;116680;116700;116640;116670
27.09.2018;116690;116700;116670;116690
27.09.2018;116680;116690;116550;116560
27.09.2018;116560;116650;116550;116620
27.09.2018;116640;116670;116560;116670
27.09.2018;116670;116670;116610;116640
27.09.2018;116640;116740;116640;116720
27.09.2018;116710;116780;116700;116740
27.09.2018;116740;116750;116720;116730
27.09.2018;116740;116780;116720;116770
27.09.2018;116770;116780;116710;116710
27.09.2018;116720;116820;116700;116780
27.09.2018;116770;116830;116760;116830
27.09.2018;116820;116820;116750;116760
27.09.2018;116760;116800;116750;116800
27.09.2018;116780;116790;116670;116690
27.09.2018;116690;116720;116660;116710
27.09.2018;116710;116710;116590;116590
27.09.2018;116590;116640;116550;116630
27.09.2018;116630;116700;116620;116700
27.09.2018;116690;116690;116650;116680
